gene	PMID_PMCID	evidence
ENSG00000055332	15299030,24334130,17492795,32574669,14739562,12486162,24269587,32146463,17055645,25248806,30606992,19626386	PubChem
ENSG00000057663	25748161,30966861,31926197,26746706,25497688,35358621,20697744,31836471,23384565,28928221,34661876,26558631,23210740,32977419,30112966,33823232,30924108,30800669,30442917,24818601,32071296,20174468,18199701,33890462,22335252,19682553,17622797,30426321,35457010,29988147	PubChem
ENSG00000059804	25814668	miRTex
ENSG00000062485	35787469,20885945,24582596,14720215,23564607,15474047,28197854,34648126,1461362,17869432,10599873,7662887,7739756,20958999,30876983,8177363,30359634,8239566,8986127,25596437	PubChem
ENSG00000064012	33257649,11264300,12692130,29154036,22540228,11739563,25801023,31690718,24938188,21389984,26405176,14993216,22539006,14696015,31936558,12846989,15474362,10691289,11223917,27085073,34406679,23540413,15608081,20832831,17280646,17291991,12666099,16239241,17359968,17894646,22985856,25502462,25586882,28383489,22138428,31487916,18306664,24631255	PubChem
ENSG00000064300	19291307,30941646,24475283,25923962,8789608,21145918,30117045,30189266,28042339,29052090,27815842,12787319,19609938,7720819,26440538,16806115,8289077,23880857,31159890	PubChem
ENSG00000064687	35246032,31628463	PubChem
ENSG00000064692	24902662,17222866,10967135,17982729,21344240,18004887,12044248,12536229,16969096,21584925,11744167,22832581,34148545	PubChem
ENSG00000064932	23985028,35500217,22340708,27921253,18003920,27821734,25378175,20670888,27267045,20463395,32968192,30130562,23719160,25247703,21597461,20812868,17678953	PubChem
ENSG00000065320	16840550,22748019,15730872,32728898,20637284,35023303	PubChem
ENSG00000065559	17397968,25825522,32016794,27023913,12485868,9452508,17369508,21549720,11504916,10936203	PubChem
ENSG00000065621	15970797,15040808,18986335,22494505,17194543,16399380,20472488,14570706,31929116,15985314,26993125	PubChem
